,0
698,2
699,4
700,2
701,2
702,7
703,1
704,8
705,8
706,4
707,2
708,9
709,4
710,6
711,5
712,7
713,4
714,4
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,6
724,2
725,4
726,2
727,1
728,8
729,7
730,6
731,2
732,4
733,3
734,2
735,4
736,2
737,2
738,3
739,9
740,2
741,8
742,5
743,1
744,2
745,5
746,0
747,7
748,8
749,3
750,8
751,3
752,1
753,6
754,0
755,2
756,4
757,4
758,2
759,0
760,2
761,7
762,5
763,6
764,2
765,3
766,2
767,4
768,3
769,4
770,9
771,7
772,3
773,2
774,2
775,9
776,4
777,4
778,5
779,6
780,8
781,7
782,8
783,9
784,4
785,2
786,2
787,2
788,1
789,8
790,3
791,6
792,1
793,1
794,4
795,8
796,2
797,4
798,4
799,6
800,2
801,8
802,7
803,4
804,1
805,2
806,8
807,4
808,1
809,4
810,8
811,2
812,4
813,8
814,7
815,2
816,4
817,8
818,7
819,7
820,2
821,5
822,2
823,4
824,7
825,3
826,6
827,0
828,6
829,4
830,8
831,3
832,0
833,4
834,1
835,2
836,7
837,0
838,0
839,0
840,6
841,3
842,9
843,2
844,2
845,4
846,2
847,2
848,2
849,7
850,4
851,8
852,4
853,8
854,4
855,7
856,5
857,5
858,0
859,4
860,8
861,7
862,8
863,2
864,4
865,4
866,0
867,1
868,8
869,4
870,0
871,7
872,2
873,1
874,8
875,8
876,0
877,8
878,2
879,2
880,5
881,4
882,8
883,6
884,2
885,7
886,8
887,3
888,8
889,8
890,4
891,0
892,0
893,4
894,3
895,2
896,3
897,4
898,2
899,2
900,7
901,7
902,5
903,2
904,7
905,4
906,3
907,4
908,4
909,2
910,8
911,6
912,4
913,5
914,2
915,7
916,1
917,2
918,8
919,2
920,4
921,0
922,6
923,4
924,3
925,2
926,7
927,1
928,3
929,8
930,8
931,9
932,4
933,2
934,0
935,6
936,1
937,8
938,1
939,7
940,9
941,4
942,2
